n,tile,gflops,iqr_pct
512,8,3.923,0.2
512,16,4.124,0.2
512,32,4.005,0.2
512,48,3.416,0.2
512,64,3.150,0.2
512,96,2.582,0.2
512,128,2.308,0.1
512,256,1.782,0.2
1024,8,3.876,0.0
1024,16,3.949,0.7
1024,32,3.992,0.8
1024,48,3.386,0.3
1024,64,3.158,0.1
1024,96,2.552,0.1
1024,128,2.307,0.0
1024,256,1.785,0.1
